puis	VERB	pouvoir
dans	ADP	dans
mes	DET	mon
la	DET	le
fait	NOUN	fait
qu'	SCONJ	que
quand	SCONJ	quand
travail	NOUN	travail
tout	ADV	tout
sûre	ADJ	sûr
soient	AUX	être
Je	PRON	je
crédits	NOUN	crédit
mon	DET	mon
est	AUX	être
m'	PRON	me
allez	VERB	aller
d'	ADP	de
vous	PRON	vous
toujours	ADV	toujours
moi	PRON	moi
,	PUNCT	,
Puis	VERB	pouvoir
yeux	NOUN	oeil
banque	NOUN	banque
un	DET	un
l'	DET	le
avec	ADP	avec
aberrations	NOUN	aberration
longtemps	ADV	longtemps
Hollywood	PROPN	Hollywood
il	PRON	il
-je	PRON	je
a	AUX	avoir
C'	PRON	ce
exceptée	VERB	excepter
famille	NOUN	famille
dortoir	NOUN	dortoir
tout	PRON	tout
vraie	ADJ	vrai
sourire	NOUN	sourire
métier	NOUN	métier
madame	NOUN	monsieur
d'	ADP	de
Sud	PROPN	Sud
passe	VERB	passer
mais	CCONJ	mais
de	ADP	de
tout	ADV	tout
,	PUNCT	,
,	PUNCT	,
«	PUNCT	«
Minnesota	PROPN	Minnesota
le	DET	le
dix-huit	NUM	dix-huit
,	PUNCT	,
les	DET	le
a	VERB	avoir
de	ADP	de
avait	VERB	avoir
je	PRON	je
-je	PRON	je
mardi	NOUN	mardi
La	DET	le
je	PRON	je
jeune	ADJ	jeune
Mes	DET	mon
mais	CCONJ	mais
.	PUNCT	.
ai	AUX	avoir
j'	PRON	je
de	ADP	de
Swann	PROPN	Swann
patronymes	NOUN	patronyme
me	PRON	me
cliché	NOUN	cliché
comme	SCONJ	comme
agit	VERB	agir
détective	NOUN	détective
souvienne	VERB	souvenir
neigé	VERB	neiger
n'	ADV	n'
un	PRON	un
au	ADP	au
visière	NOUN	visière
vint	VERB	venir
premier	ADJ	premier
est	AUX	être
un	DET	un
Minneapolis	PROPN	Minneapolis
fatidique	ADJ	fatidique
avais	AUX	avoir
.	PUNCT	.
en	ADP	en
que	ADV	que
jour	NOUN	jour
fille	NOUN	fille
et	CCONJ	et
enquête	NOUN	enquête
feuilleta	VERB	feuilleter
je	PRON	je
.	PUNCT	.
aurais	AUX	avoir
pieds	NOUN	pied
visite	NOUN	visite
votre	DET	votre
blanc	NOUN	blanc
de	ADP	de
-je	PRON	je
mes	DET	mon
le	DET	le
—	PUNCT	—
pour	ADP	pour
Suisse	PROPN	Suisse
n'	ADV	n'
anciens	ADJ	ancien
qu'	PRON	qu'
vie	NOUN	vie
Un	DET	un
je	PRON	je
de	ADP	de
lui	PRON	lui
fièrement	ADV	fièrement
eaux	NOUN	eau
coup	NOUN	coup
!	PUNCT	!
.	PUNCT	.
plus	ADV	plus
mon	DET	mon
parti	VERB	partir
ans	NOUN	an
douze	NUM	douze
ne	ADV	ne
avais	AUX	avoir
Le	DET	le
—	PUNCT	—
Pas	ADV	pas
!	PUNCT	!
venu	VERB	venir
but	NOUN	but
me	PRON	me
Je	PRON	je
rendre	VERB	rendre
le	DET	le
.	PUNCT	.
attend	VERB	attendre
chaque	DET	chaque
tous	ADJ	tout
comprends	VERB	comprendre
Springs	PROPN	Springs
vin	NOUN	vin
n'	ADV	n'
d'	ADP	de
Il	PRON	il
n'	ADV	n'
.	PUNCT	.
ancienne	ADJ	ancien
université	NOUN	université
.	PUNCT	.
vous	PRON	vous
Minneapolis	PROPN	Minneapolis
peu	ADV	peu
me	PRON	me
électricité	NOUN	électricité
à	ADP	à
...	PUNCT	...
de	ADP	de
,	PUNCT	,
Je	PRON	je
Hot	PROPN	Hot
donc	ADV	donc
avec	ADP	avec
Ashford	PROPN	Ashford
à	ADP	à
Bill	PROPN	Bill
réaction	NOUN	réaction
fréquentées	VERB	fréquenter
ne	ADV	ne
célibataire	ADJ	célibataire
.	PUNCT	.
réellement	ADV	réellement
nos	DET	notre
j'	PRON	je
—	PUNCT	—
me	PRON	me
Geneva	PROPN	Geneva
Swann	PROPN	Swann
,	PUNCT	,
l'	DET	le
Swann	PROPN	Swann
de	ADP	de
vivais	VERB	vivre
née	VERB	naître
ex-mari	NOUN	ex-mari
de	ADP	de
ma	DET	mon
-il	PRON	il
son	DET	son
tombait	VERB	tomber
.	PUNCT	.
Maggie	PROPN	Maggie
thermales	ADJ	thermal
que	SCONJ	que
étaient	VERB	être
Hepzibah	PROPN	Hepzibah
visiblement	ADV	visiblement
-je	PRON	je
ans	NOUN	an
Une	DET	un
!	PUNCT	!
un	DET	un
en	ADP	en
exploitées	VERB	exploiter
de	ADP	de
Maintenant	ADV	maintenant
.	PUNCT	.
la	DET	le
n'	ADV	n'
gorge	NOUN	gorge
pas	ADV	pas
.	PUNCT	.
,	PUNCT	,
—	PUNCT	—
arrivé	VERB	arriver
Un	DET	un
Roosevelt	PROPN	Roosevelt
Je	PRON	je
heure	NOUN	heure
redressa	VERB	redresser
.	PUNCT	.
.	PUNCT	.
